ปีการศึกษา,ชื่อโรงเรียน,อำเภอที่ตั้งรร.,ขนาดโรงเรียน,ที่ตั้งโรงเรียน,สังกัด,เขตพื้นที่ฯ,จำนวนผู้เข้าสอบ,ว 1.1 (Mean),ว 1.1 (S.D.),ว 1.2 (Mean),ว 1.2 (S.D.),ว 1.3 (Mean),ว 1.3 (S.D.),ว 2.1 (Mean),ว 2.1 (S.D.),ว 2.2 (Mean),ว 2.2 (S.D.),ว 2.3 (Mean),ว 2.3 (S.D.),ว 3.1 (Mean),ว 3.1 (S.D.),ว 3.2 (Mean),ว 3.2 (S.D.),ว 4.2 (Mean),ว 4.2 (S.D.)
2565,บ้านห้วยม่วงฝั่งซ้าย,จอมทอง,เล็ก,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 6,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2565,บ้านห้วยส้มป่อย,จอมทอง,เล็ก,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 6,7,57.14,49.49,21.43,28.12,57.14,49.49,53.57,17.31,23.81,15.06,21.43,24.74,21.43,24.74,47.62,24.28,28.57,24.74
2565,บ้านห้วยสะแพด,จอมทอง,เล็ก,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 6,10,30.00,45.83,37.50,30.10,20.00,40.00,36.25,17.18,13.33,22.11,30.00,24.49,40.00,30.00,46.67,26.67,25.00,25.00
2565,บ้านหาดนาค,จอมทอง,เล็ก,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 6,2,100.00,0.00,50.00,0.00,0.00,0.00,50.00,12.50,33.33,33.33,100.00,0.00,25.00,25.00,66.67,0.00,50.00,0.00
2565,บ้านใหม่สารภี,จอมทอง,เล็ก,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 6,11,18.18,38.57,40.91,19.28,36.36,48.10,47.73,24.32,21.21,16.03,59.09,28.75,54.55,33.40,30.30,30.00,45.45,25.71
2565,ป่ากล้วยพัฒนา,จอมทอง,เล็ก,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 6,10,20.00,40.00,30.00,24.49,10.00,30.00,38.75,28.20,23.33,21.34,30.00,24.49,15.00,22.91,46.67,30.55,15.00,32.02
2565,วัดพระบาท,จอมทอง,เล็ก,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 6,1,0.00,0.00,0.00,0.00,100.00,0.00,62.50,0.00,66.67,0.00,0.00,0.00,100.00,0.00,66.67,0.00,100.00,0.00
2565,ศรีจอมทอง,จอมทอง,ใหญ่,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 6,123,21.14,40.83,43.70,30.34,75.61,42.94,60.67,25.09,40.38,29.83,46.34,37.81,57.32,27.56,70.46,27.61,45.12,32.77
2565,สุทธิวงศ์ดำรงวิทย์,จอมทอง,เล็ก,นอกเมือง,สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,-,13,30.77,46.15,30.77,28.00,23.08,42.13,37.50,23.00,33.33,26.15,26.92,31.72,42.31,26.65,53.85,24.59,38.46,34.83
2565,แกน้อยศึกษา,เชียงดาว,กลาง,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 3,10,20.00,40.00,30.00,26.93,20.00,40.00,33.75,20.19,30.00,31.45,5.00,15.00,20.00,24.49,60.00,29.06,10.00,20.00
2565,โครงการหลวงแกน้อย,เชียงดาว,เล็ก,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 3,7,14.29,34.99,17.86,22.02,0.00,0.00,28.57,23.82,33.33,25.20,28.57,24.74,57.14,17.50,42.86,23.33,7.14,17.50
2565,เจ้าฟ้าอุบลรัตน์,เชียงดาว,กลาง,นอกเมือง,สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,-,19,26.32,44.03,25.00,25.65,21.05,40.77,39.47,28.75,29.82,18.40,23.68,24.97,50.00,16.22,45.61,30.99,31.58,33.29
2565,ชุมชนบ้านเมืองงาย,เชียงดาว,กลาง,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 3,23,21.74,41.25,38.04,25.40,43.48,49.57,39.67,21.38,34.78,30.26,36.96,33.68,54.35,32.68,59.42,35.38,30.43,24.40
2565,ชุมชนบ้านวังจ๊อม,เชียงดาว,กลาง,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 3,10,20.00,40.00,37.50,27.95,20.00,40.00,50.00,22.36,20.00,22.11,35.00,22.91,60.00,20.00,53.33,33.99,30.00,33.17
2565,ตชด.เฉลิมพระเกียรติฯ บ้านแกน้อย,เชียงดาว,เล็ก,นอกเมือง,กองบัญชาการตำรวจตระเวนชายแดน,-,22,18.18,38.57,32.95,26.53,13.64,34.32,30.68,23.45,19.70,21.69,15.91,23.29,36.36,26.89,21.21,23.67,15.91,23.29
2565,บ้านเชียงดาว,เชียงดาว,กลาง,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 3,92,13.04,33.68,33.70,29.13,32.61,46.88,46.47,24.05,29.71,24.31,32.07,30.91,49.46,28.07,46.01,35.04,35.87,34.04
2565,บ้านดอน,เชียงดาว,เล็ก,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 3,4,75.00,43.30,43.75,36.98,75.00,43.30,43.75,25.77,8.33,14.43,25.00,25.00,62.50,41.46,41.67,36.32,12.50,21.65
2565,บ้านถ้ำ,เชียงดาว,เล็ก,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 3,8,12.50,33.07,43.75,29.97,100.00,0.00,43.75,29.97,33.33,16.67,25.00,35.36,56.25,29.97,58.33,36.32,31.25,24.21
2565,บ้านทุ่งข้าวพวง,เชียงดาว,กลาง,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 3,28,35.71,47.92,40.18,32.28,17.86,38.30,45.54,22.21,20.24,22.43,28.57,28.12,41.07,30.04,42.86,27.97,28.57,36.42
2565,บ้านทุ่งละคร,เชียงดาว,เล็ก,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 3,6,33.33,47.14,62.50,34.61,16.67,37.27,37.50,23.94,33.33,27.22,25.00,25.00,41.67,34.36,66.67,27.22,16.67,23.57
2565,บ้านทุ่งหลุก,เชียงดาว,เล็ก,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 3,6,16.67,37.27,33.33,18.63,66.67,47.14,56.25,30.41,33.33,19.25,25.00,38.19,33.33,23.57,50.00,31.91,16.67,23.57
2565,บ้านนาหวาย,เชียงดาว,กลาง,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 3,34,23.53,42.42,38.97,27.25,44.12,49.65,40.81,22.55,29.41,26.52,27.94,34.71,54.41,22.25,43.14,33.85,25.00,32.65
2565,บ้านปางแดง,เชียงดาว,เล็ก,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 3,7,42.86,49.49,60.71,29.45,71.43,45.18,60.71,18.21,47.62,24.28,35.71,22.59,42.86,31.94,57.14,38.69,21.43,24.74
2565,บ้านปางเฟือง,เชียงดาว,เล็ก,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 3,9,22.22,41.57,47.22,36.22,0.00,0.00,50.00,27.00,11.11,15.71,16.67,23.57,55.56,28.33,62.96,29.16,38.89,31.43
2565,บ้านปางมะเยา,เชียงดาว,กลาง,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 3,20,30.00,45.83,28.75,19.80,20.00,40.00,34.38,22.32,30.00,20.82,27.50,33.45,30.00,33.17,21.67,26.40,20.00,29.15
2565,บ้านป่าบง,เชียงดาว,เล็ก,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 3,4,25.00,43.30,31.25,20.73,0.00,0.00,53.13,13.62,25.00,27.64,12.50,21.65,37.50,21.65,33.33,23.57,25.00,43.30
2565,บ้านเมืองคอง,เชียงดาว,เล็ก,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 3,15,13.33,33.99,43.33,32.23,40.00,48.99,54.17,26.87,26.67,30.31,30.00,24.49,40.00,32.66,40.00,27.76,30.00,24.49
2565,บ้านเมืองนะ,เชียงดาว,กลาง,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 3,58,34.48,47.53,25.00,28.99,17.24,37.77,46.34,22.98,25.29,23.42,41.38,37.30,38.79,26.33,43.68,32.29,30.17,32.08
2565,บ้านแม่กอนใน,เชียงดาว,เล็ก,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 3,17,29.41,45.56,36.76,35.48,17.65,38.12,44.85,21.03,21.57,25.41,41.18,30.85,64.71,28.52,43.14,24.96,20.59,29.99
2565,บ้านแม่นะ,เชียงดาว,กลาง,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 3,21,28.57,45.18,32.14,32.86,0.00,0.00,50.00,23.46,14.29,21.99,40.48,39.70,50.00,21.82,36.51,25.00,28.57,29.16
